,sim,a,b,mean,variance,N,n,distance_assembly,distance_optimal,distance_naive,spp_name,ab_original,ab_optimal,ab_subcomm,ab_naive,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20
6,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp7,0.0607371899475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,9.625,17.484375,8.0,4.0,0.01926741290337545,0.0192674129033739,0.06013727230047647,spp8,0.154958191428851,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp1,1.81297666836643,1.9164642783786525,1.91646427837856,1.81297666836643,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp2,4.23193536175065,4.4116331336803505,4.41163313368032,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
2,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp3,0.361130803282735,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
3,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp4,0.779619352973201,0.920627969412903,0.920627969412972,0.779619352973201,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
4,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp5,0.358980936504742,0.5047211806834715,0.504721180683415,0.358980936504742,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
5,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp6,1.047916815223,0.9895229994745277,0.989522999474542,1.047916815223,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
6,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp7,0.0607371899475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,9.625,17.484375,8.0,5.0,0.01077279228874141,0.010772792288737773,0.026452111593161146,spp8,0.154958191428851,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp1,1.81297666836643,1.8916930663388631,1.89169306633883,1.81297666836643,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp2,4.23193536175065,4.438570649434645,4.43857064943448,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
2,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp3,0.361130803282735,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
3,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp4,0.779619352973201,0.7094290551015344,0.709429055101612,0.779619352973201,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
4,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp5,0.358980936504742,0.47373361885423093,0.473733618854262,0.358980936504742,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
5,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp6,1.047916815223,1.0852406581644014,1.08524065816438,1.047916815223,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
6,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp7,0.0607371899475922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,9.625,17.484375,8.0,6.0,0.005865150651457358,0.0058651506514564924,0.01554495688633296,spp8,0.154958191428851,0.18919837332672448,0.189198373326739,0.154958191428851,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
0,0.0,1.0,1.0,9.625,17.484375,8.0,7.0,0.0027165277614620304,0.0027165277614583966,0.0036890062427298947,spp1,1.81297666836643,1.7765201304424434,1.77652013044229,1.81297666836643,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
1,0.0,1.0,1.0,9.625,17.484375,8.0,7.0,0.0027165277614620304,0.0027165277614583966,0.0036890062427298947,spp2,4.23193536175065,4.320856689212724,4.32085668921255,4.23193536175065,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
2,0.0,1.0,1.0,9.625,17.484375,8.0,7.0,0.0027165277614620304,0.0027165277614583966,0.0036890062427298947,spp3,0.361130803282735,0.3054674242729995,0.305467424273157,0.361130803282735,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
3,0.0,1.0,1.0,9.625,17.484375,8.0,7.0,0.0027165277614620304,0.0027165277614583966,0.0036890062427298947,spp4,0.779619352973201,0.7045822864806626,0.70458228648086,0.779619352973201,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
4,0.0,1.0,1.0,9.625,17.484375,8.0,7.0,0.0027165277614620304,0.0027165277614583966,0.0036890062427298947,spp5,0.358980936504742,0.46903474053802086,0.469034740537974,0.358980936504742,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
